List of Thais by net worth


# List of Thais by net worth



This is a **list of Thai billionaires** based on an annual assessment of wealth and assets compiled and published by *Forbes* magazine in 2023.


## 2023 Thai billionaires list

| World rank | Name | Citizenship | Net worth (USD) | Source of wealth |
| --- | --- | --- | --- | --- |
| 116 | Dhanin Chearavanont | Thailand | 14.9 billion | Charoen Pokphand Group |
| 118 | Charoen Sirivadhanabhakdi | Thailand | 14.8 billion | ThaiBev, real estate |
| 141 | Sarath Ratanavadi | Thailand | 12.3 billion | Gulf Energy Development |
| 425 | Sumet Jiaravanon | Thailand | 6 billion | Charoen Pokphand Group |
| 437 | Jaran Chiaravanont | Thailand | 5.9 billion | Charoen Pokphand Group |
| 721 | Vanich Chaiyawan | Thailand | 3.9 billion | Thai Life Insurance, beverages |
| 721 | Somurai Jaruphnit | Thailand | 3.9 billion | Charoen Pokphand Group |
| 818 | Prasert Prasarttong-Osoth | Thailand | 3.5 billion | Bangkok Dusit Medical Services |
| 852 | Somphote Ahunai | Thailand | 3.3 billion | Energy Absolute |
| 1217 | Prayudh Mahagitsiri | Thailand | 2.5 billion | coffee, shipping |
| 1368 | Harald Link | Thailand | 2.2 billion | B.Grimm |
| 1434 | Thaksin Shinawatra | Thailand Montenegro | 2.1 billion | investments |
| 1516 | Phongthep Chiaravanont | Thailand | 2 billion | Charoen Pokphand Group |
| 1516 | Wichai Thongtang | Thailand | 2 billion | Bangkok Dusit Medical Services |
| 1575 | Manas Chiaravanond | Thailand | 1.9 billion | Charoen Pokphand Group |
| 1575 | Prathip Chiravanond | Thailand | 1.9 billion | Charoen Pokphand Group |
| 1575 | Somsri Lamsam | Thailand | 1.9 billion | Charoen Pokphand Group |
| 1647 | Krit Ratanarak | Thailand | 1.8 billion | Bangkok Broadcasting & TV, real estate |
| 1725 | William Heinecke | Thailand | 1.7 billion | Minor International |
| 1725 | Chusana Siriboonrod | Thailand | 1.7 billion | Siriboonrod Group |
| 1804 | Sathien Setthasit | Thailand | 1.6 billion | Carabao Group |
| 1905 | Prachak Tangkaravakoon | Thailand | 1.5 billion | TOA Paint (Thailand) |
| 2020 | Niti Osathanugrah | Thailand | 1.4 billion | Osotspa |
| 2133 | Anant Asavabhokhin | Thailand | 1.3 billion | Land and Houses |
| 2133 | Pongsak Viddayakorn | Thailand | 1.3 billion | Bangkok Dusit Medical Services |
| 2259 | Thongma Vijitpongpun | Thailand | 1.2 billion | Pruksa Real Estate |
| 2405 | Chatchai Kaewbootta | Thailand | 1.1 billion | Srisawad Corp |

