List of EU metropolitan regions by GDP


# List of EU metropolitan regions by GDP



A metropolitan region's **gross domestic product**, or **GDP**, is one of several measures of the size of its economy. Similar to GDP, GMP is defined as the market value of all final goods and services produced within a metropolitan region in a given period of time.


## 2021 ranking of metropolitan regions in the European Union

This list shows metropolitan regions in the European Union by 2021 GDP according to Eurostat.

In some of the EU member states, there can exist differently defined areas of various sizes, which may also be called metropolitan regions. For example, the four distinct metropolitan regions of Munich, Augsburg, Ingolstadt, and Rosenheim, as defined by Eurostat, all lie within the area of the Munich Metropolitan Region.

| Rank | Metropolitan region | GDP (mil. €) | Country |
| 102 | Angers metropolitan region | 24,955 | France |
| 103 | Lefkosia metropolitan region | 24,928 | Cyprus |
| 104 | Zagreb metropolitan region | 24,907 | Croatia |
| 105 | Kiel metropolitan region | 24,523 | Germany |
| 106 | Palermo metropolitan region | 24,380 | Italy |
| 107 | Vilnius metropolitan region | 24,362 | Lithuania |
| 108 | Palma de Mallorca metropolitan region | 24,358 | Spain |
| 109 | Wiesbaden metropolitan region | 24,350 | Germany |
| 110 | Ulm metropolitan region | 24,044 | Germany |
| 111 | San Sebastián metropolitan region | 23,839 | Spain |
| 112 | Gdańsk metropolitan region | 23,781 | Poland |
| 113 | Regensburg metropolitan region | 23,629 | Germany |
| 114 | Darmstadt metropolitan region | 23,554 | Germany |
| 115 | Oviedo-Gijón metropolitan region | 23,550 | Spain |
| 116 | Orléans metropolitan region | 23,062 | France |
| 117 | Riga metropolitan region | 22,961 | Latvia |
| 118 | Mulhouse metropolitan region | 22,945 | France |
| 119 | Aachen metropolitan region | 22,907 | Germany |
| 120 | Clermont-Ferrand metropolitan region | 22,892 | France |
| 121 | Saint-Etienne metropolitan region | 22,655 | France |
| 122 | Cádiz metropolitan region | 22,636 | Spain |
| 123 | Groningen metropolitan region | 22,480 | Netherlands |
| 124 | Pau metropolitan region | 22,318 | France |
| 125 | Würzburg metropolitan region | 22,191 | Germany |
| 126 | Tampere metropolitan region | 22,104 | Finland |
| 127 | Salzburg metropolitan region | 22,093 | Austria |
| 128 | Vigo metropolitan region | 21,988 | Spain |
| 129 | Odense metropolitan region | 21,745 | Denmark |
| 130 | Caen metropolitan region | 21,290 | France |
| 131 | Catania metropolitan region | 21,020 | Italy |
| 132 | Nancy metropolitan region | 20,841 | France |
| 133 | Tilburg metropolitan region | 20,814 | Netherlands |
| 134 | Ostrava metropolitan region | 20,781 | Czech Republic |
| 135 | Osnabrück metropolitan region | 20,721 | Germany |
| 136 | Pamplona metropolitan region | 20,519 | Spain |
| 137 | Reims metropolitan region | 20,385 | France |
| 138 | Reggio Emilia metropolitan region | 20,311 | Italy |
| 139 | Ljubljana metropolitan region | 20,256 | Slovenia |
| 140 | Turku metropolitan region | 20,009 | Finland |
| 141 | Nimes metropolitan region | 19,908 | France |
| 142 | Dijon metropolitan region | 19,648 | France |
| 143 | Tours metropolitan region | 19,586 | France |
| 144 | Uppsala metropolitan region | 19,080 | Sweden |
| 145 | Parma metropolitan region | 19,032 | Italy |
| 146 | Offenburg metropolitan region | 18,902 | Germany |
| 147 | Tallinn metropolitan region | 18,861 | Estonia |
| 148 | Erfurt metropolitan region | 18,745 | Germany |
| 149 | Santa Cruz de Tenerife metropolitan region | 18,680 | Spain |
| 150 | Łódź metropolitan region | 18,415 | Poland |
| 151 | Kassel metropolitan region | 18,084 | Germany |
| 152 | Perugia metropolitan region | 17,527 | Italy |
| 153 | Leiden metropolitan region | 17,520 | Netherlands |
| 154 | Zwolle metropolitan region | 17,295 | Netherlands |
| 155 | Granada metropolitan region | 17,141 | Spain |
| 156 | Magdeburg metropolitan region | 17,112 | Germany |
| 157 | Aschaffenburg metropolitan region | 16,613 | Germany |
| 158 | Wrocław metropolitan region | 16,579 | Poland |
| 159 | Oldenburg metropolitan region | 16,576 | Germany |
| 160 | Las Palmas metropolitan region | 16,562 | Spain |
