CSI 100 Index


# CSI 100 Index



The **CSI 100 Index** (Chinese: 中证100指数) is a capitalization-weighted, free float adjusted stock market index designed to replicate the performance of top 100 stocks traded in the Shanghai and Shenzhen stock exchanges. It is a sub-index of CSI 300 Index.

The index is compiled by the China Securities Index.

Its value is normalized relative to a base of 1000 on 30 December 2005.

CSI 100 Index was considered as an index for big caps.


## Constituents

| Ticker | Company | Segment | Exchange | Weighting (%) |
| SZSE: 000661 | Chang Chun High and New Technology Industry (Group) | Health Care | Shenzhen | 0.412 |
| SSE: 600426 | Shandong Hualu-Hengsheng Chemical | Materials | Shanghai | 0.405 |
| SZSE: 002241 | GoerTek | Information Technology | Shenzhen | 0.395 |
| SSE: 600547 | Shandong Gold-Mining | Materials | Shanghai | 0.389 |
| SSE: 603799 | Zhejiang Huayou Cobalt | Materials | Shanghai | 0.376 |
| SSE: 600570 | Hundsun Technologies | Information Technology | Shanghai | 0.368 |
| SSE: 600010 | Inner Mongolia Baotou Steel Union | Materials | Shanghai | 0.347 |
| SZSE: 002271 | Beijing Oriental Yuhong Waterproof Technology | Materials | Shenzhen | 0.345 |
| SZSE: 001979 | China Merchants Shekou Industrial Zone Holdings | Real Estate | Shenzhen | 0.338 |
| SSE: 600989 | Ningxia Baofeng Energy Group | Materials | Shanghai | 0.333 |
| SSE: 600745 | Wingtech | Information Technology | Shanghai | 0.329 |
| SZSE: 002601 | LB Group | Materials | Shenzhen | 0.311 |
| SZSE: 002493 | Rongsheng Petro Chemical | Materials | Shenzhen | 0.309 |
| SZSE: 002555 | 37 Interactive Entertainment Network Technology Group | Communication | Shenzhen | 0.3 |
| SZSE: 300142 | Walvax Biotechnology | Health Care | Shenzhen | 0.293 |
| SZSE: 002648 | Satellite Chemical | Materials | Shenzhen | 0.277 |
| SZSE: 000301 | Jiangsu Eastern Shenghong | Materials | Shenzhen | 0.275 |
| SSE: 688599 | Trina Solar | Information Technology | Shanghai | 0.27 |
| SZSE: 002812 | Yunnan Energy New Material | Materials | Shenzhen | 0.267 |
| SSE: 600346 | Hengli Petrochemical | Materials | Shanghai | 0.266 |
| SSE: 600588 | Yonyou Network Technology | Information Technology | Shanghai | 0.258 |
| SSE: 600176 | CHINA JUSHI | Materials | Shanghai | 0.239 |
| SZSE: 002709 | Tinci Materials | Materials | Shenzhen | 0.236 |
| SZSE: 300347 | Hangzhou Tigermed Consulting | Health Care | Shenzhen | 0.234 |
| SZSE: 300413 | Mango Excellent Media | Communication | Shenzhen | 0.184 |
| SZSE: 002410 | Glodon Software | Information Technology | Shenzhen | 0.181 |


## Change history

