List of countries by net goods exports


# List of countries by net goods exports



This is a **list of countries by net goods exports**, also known as **balance of trade**, which is the difference between the monetary value of a nation's exports and imports over a certain time period. The list includes sovereign states and self-governing dependent territories based upon the ISO standard ISO 3166-1. The following table shows the value of total annual merchandise exports and imports, expressed in millions of United States dollars (current prices), and the resulting trade balance, according to United Nations Conference on Trade and Development (UNCTAD), World Trade Organization (WTO), and World Bank (WB).

Countries with positive balance of trade have a trade surplus, countries with negative net exports have a trade deficit.


## List

Sorting is alphabetical by country code, according to ISO 3166-1 alpha-3.

Net goods exports *(USD current prices)*
| Country/Territory/Region/Group | UNCTAD | | | WTO | | | WB | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Exports 2023 | Imports 2023 | Trade balance 2023 | Exports 2023 | Imports 2023 | Trade balance 2023 | Exports | Year | Imports | Year | Trade balance | Year |
| (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) |
| New Caledonia | 2130.71 | 3195.80 | −1065.09 | 2130.71 | 3195.80 | −1065.09 | 1335.17 | 2016 | 2267.07 | 2016 | −931.90 | 2016 |
| Niger | 1097.49 | 2287.29 | −1189.80 | 1097.49 | 2287.29 | −1189.80 | 1046.19 | 2022 | 2921.64 | 2022 | −1875.45 | 2022 |
| Nigeria | 57890.26 | 45946.35 | 11943.91 | 57890.26 | 45946.35 | 11943.90 | 55820.81 | 2023 | 47745.80 | 2023 | 8075.02 | 2023 |
| Nicaragua | 7378.49 | 10916.35 | −3537.86 | 7378.49 | 10916.35 | −3537.86 | 6688.30 | 2023 | 9380.20 | 2023 | −2691.90 | 2023 |
| Niue | 0.84 | 7.45 | −6.61 | 0.84 | 7.45 | −6.62 |
| Netherlands | 731800.92 | 639800.42 | 92516.50 | 731800.92 | 639800.42 | 92516.50 | 718939.22 | 2023 | 622305.12 | 2023 | 96634.10 | 2023 |
| Norway | 173906.06 | 95292.36 | 78613.70 | 173906.06 | 95292.36 | 78613.70 | 176536.54 | 2023 | 96025.70 | 2023 | 80510.84 | 2023 |
| Nepal | 1014.54 | 12475.70 | −11461.16 | 1014.54 | 12475.70 | −11461.16 | 1359.06 | 2023 | 11823.62 | 2023 | −10464.57 | 2023 |
| Nauru | 44.32 | 78.69 | −34.37 | 44.32 | 78.69 | −34.37 | 11.86 | 2018 | 60.58 | 2018 | −48.72 | 2018 |
| New Zealand | 41482.93 | 49997.07 | −8514.14 | 41482.93 | 49997.07 | −8514.15 | 42545.82 | 2023 | 49971.59 | 2023 | −7425.77 | 2023 |
| Oman | 62736.00 | 36382.00 | 26354.00 | 62736.00 | 36382.00 | 26354.00 | 66063.61 | 2022 | 34747.05 | 2022 | 31316.56 | 2022 |
| Pakistan | 28488.00 | 50500.00 | −22012.00 | 28488.00 | 50500.00 | −22012.00 | 28930.00 | 2023 | 48350.00 | 2023 | −19420.00 | 2023 |
| Panama | 15712.83 | 35094.92 | −19382.09 | 15712.83 | 35094.92 | −19382.09 | 19095.55 | 2023 | 30180.82 | 2023 | −11085.27 | 2023 |
| Peru | 60755.63 | 52305.51 | 8450.12 | 60755.63 | 52305.51 | 8450.12 | 67518.11 | 2023 | 49840.11 | 2023 | 17677.99 | 2023 |
| Philippines | 72917.90 | 132978.95 | −60061.05 | 72917.90 | 132978.95 | −60061.05 | 55316.17 | 2023 | 121104.02 | 2023 | −65787.84 | 2023 |
| Palau | 1.85 | 242.27 | −240.42 | 1.85 | 242.27 | −240.42 | 2.10 | 2022 | 158.53 | 2022 | −156.43 | 2022 |
| Papua New Guinea | 12036.36 | 3018.83 | 9017.53 | 12036.36 | 3018.83 | 9017.53 | 11446.28 | 2021 | 4281.28 | 2021 | 7165.00 | 2021 |
| Poland | 381517.24 | 370076.24 | 11441.00 | 381517.24 | 370076.24 | 11441.00 | 361247.00 | 2023 | 354542.00 | 2023 | 6705.00 | 2023 |
| North Korea | 347.00 | 2726.00 | −2379.00 | 347.00 | 2726.00 | −2379.00 |
| Portugal | 83901.15 | 113475.32 | −29574.17 | 83901.15 | 113475.32 | −29574.17 | 80637.48 | 2023 | 107394.80 | 2023 | −26757.32 | 2023 |
| Paraguay | 11890.54 | 16104.64 | −4214.10 | 11890.54 | 16104.64 | −4214.11 | 16255.58 | 2023 | 15430.69 | 2023 | 824.89 | 2023 |
| Palestine | 1455.77 | 8569.94 | −7114.17 | 2610.93 | 2022 | 10157.47 | 2022 | −7546.54 | 2022 |
| French Polynesia | 184.12 | 2406.96 | −2222.84 | 184.12 | 2406.96 | −2222.84 | 177.87 | 2016 | 1487.74 | 2016 | −1309.87 | 2016 |
| Qatar | 97365.24 | 30927.87 | 66437.37 | 97365.24 | 30927.87 | 66437.37 | 97751.65 | 2023 | 29428.57 | 2023 | 68323.08 | 2023 |
| Romania | 100611.79 | 131912.43 | −31300.64 | 100611.79 | 131912.43 | −31300.65 | 93586.41 | 2023 | 124945.25 | 2023 | −31358.84 | 2023 |
| Russia | 423915.00 | 303786.00 | 120129.00 | 423915.00 | 303786.00 | 120129.00 | 424223.08 | 2023 | 303297.41 | 2023 | 120925.67 | 2023 |
| Rwanda | 2478.75 | 3896.86 | −1418.11 | 2478.75 | 3896.86 | −1418.11 | 2465.95 | 2023 | 4834.71 | 2023 | −2368.76 | 2023 |
| Saudi Arabia | 322255.55 | 211028.26 | 111227.29 | 322255.55 | 211028.26 | 111227.30 | 322461.89 | 2023 | 195554.15 | 2023 | 126907.75 | 2023 |
| Sudan | 4780.00 | 7100.00 | −2320.00 | 4780.00 | 7100.00 | −2320.00 | 4357.42 | 2022 | 9985.36 | 2022 | −5627.95 | 2022 |
| Senegal | 5312.72 | 11064.08 | −5751.36 | 5312.72 | 11064.08 | −5751.36 | 5490.57 | 2021 | 8488.55 | 2021 | −2997.98 | 2021 |
| Singapore | 476251.52 | 423447.91 | 52803.61 | 476251.52 | 423447.91 | 52803.61 | 545938.49 | 2023 | 391156.64 | 2023 | 154781.84 | 2023 |
| Saint Helena, Ascension and Tristan da Cunha | 94.57 | 43.18 | 51.39 |
| Solomon Islands | 427.07 | 731.60 | −304.53 | 427.07 | 731.60 | −304.53 | 430.77 | 2023 | 629.46 | 2023 | −198.69 | 2023 |
| Sierra Leone | 1270.20 | 2154.07 | −883.87 | 1270.20 | 2154.07 | −883.87 | 1154.36 | 2022 | 1748.83 | 2022 | −594.47 | 2022 |
| El Salvador | 6498.09 | 15648.34 | −9150.25 | 6498.09 | 15648.34 | −9150.25 | 5520.61 | 2023 | 14385.34 | 2023 | −8864.73 | 2023 |
| San Marino | 2532.64 | 2021 | 2133.73 | 2021 | 398.92 | 2021 |
| Somalia | 940.00 | 1230.00 | −290.00 |
| Saint Pierre and Miquelon | 1.06 | 108.69 | −107.63 | 1.06 | 108.69 | −107.63 |
| Serbia | 30934.76 | 39837.66 | −8902.90 | 30934.76 | 39837.66 | −8902.90 | 30199.25 | 2023 | 37332.91 | 2023 | −7133.66 | 2023 |
| South Sudan | 833.23 | 1183.63 | −350.40 | 833.23 | 1183.63 | −350.40 | 4968.59 | 2022 | 4041.74 | 2022 | 926.85 | 2022 |
| São Tomé and Príncipe | 19.96 | 185.75 | −165.79 | 19.96 | 185.75 | −165.79 | 21.86 | 2022 | 164.74 | 2022 | −142.88 | 2022 |
| Suriname | 2498.26 | 1821.96 | 676.30 | 2498.26 | 1821.96 | 676.30 | 2359.66 | 2023 | 1572.16 | 2023 | 787.50 | 2023 |
| Slovakia | 117315.54 | 113531.68 | 3783.86 | 117315.54 | 113531.68 | 3783.86 | 108673.65 | 2023 | 106946.39 | 2023 | 1727.26 | 2023 |
| Slovenia | 73033.63 | 71444.66 | 1588.97 | 73033.63 | 71444.66 | 1588.98 | 44670.01 | 2023 | 44166.76 | 2023 | 503.25 | 2023 |
| Sweden | 197859.72 | 193015.65 | 4844.07 | 197859.72 | 193015.65 | 4844.07 | 219946.99 | 2023 | 189644.93 | 2023 | 30302.06 | 2023 |
| Eswatini | 1762.15 | 1925.22 | −163.07 | 1762.15 | 1925.22 | −163.07 | 2029.83 | 2022 | 1969.82 | 2022 | 60.01 | 2022 |
| Sint Maarten | 299.79 | 1341.14 | −1041.35 | 299.79 | 1341.14 | −1041.36 | 207.94 | 2022 | 1082.92 | 2022 | −874.98 | 2022 |
| Seychelles | 541.48 | 1430.83 | −889.35 | 541.48 | 1430.83 | −889.36 | 541.95 | 2023 | 1427.12 | 2023 | −885.17 | 2023 |
| Syria | 5470.00 | 7300.00 | −1830.00 | 5470.00 | 7300.00 | −1830.00 | 12272.75 | 2010 | 15875.73 | 2010 | −3602.98 | 2010 |
| Turks and Caicos Islands | 4.37 | 440.10 | −435.73 | 4.37 | 440.10 | −435.73 | 5.80 | 2018 | 469.81 | 2018 | −464.01 | 2018 |
| Chad | 3700.00 | 2200.00 | 1500.00 | 3700.00 | 2200.00 | 1500.00 | 135.30 | 1994 | 212.06 | 1994 | −76.76 | 1994 |
| Togo | 1433.99 | 3203.67 | −1769.68 | 1433.99 | 3203.67 | −1769.68 | 1207.44 | 2020 | 1951.34 | 2020 | −743.89 | 2020 |
| Thailand | 284561.80 | 289754.28 | −5192.48 | 284561.80 | 289754.28 | −5192.48 | 280209.00 | 2023 | 263237.02 | 2023 | 16971.98 | 2023 |
| Tajikistan | 1717.70 | 5747.80 | −4030.10 | 1717.70 | 5747.80 | −4030.10 | 1861.48 | 2023 | 5183.16 | 2023 | −3321.68 | 2023 |
| Tokelau | 0.19 | 0.04 | 0.15 | 0.19 | 0.04 | 0.15 |
| Turkmenistan | 9917.00 | 3481.70 | 6435.30 | 9917.00 | 3481.70 | 6435.30 |
| Timor-Leste | 294.93 | 893.86 | −598.93 | 294.93 | 893.86 | −598.93 | 632.40 | 2023 | 781.46 | 2023 | −149.07 | 2023 |
| Tonga | 9.16 | 265.39 | −256.23 | 9.16 | 265.39 | −256.23 | 15.20 | 2022 | 217.33 | 2022 | −202.13 | 2022 |
| Trinidad and Tobago | 8925.40 | 7269.60 | 1655.80 | 8925.40 | 7269.60 | 1655.80 | 16687.11 | 2022 | 7506.17 | 2022 | 9180.95 | 2022 |
| Tunisia | 19985.40 | 25484.59 | −5499.19 | 19985.40 | 25484.59 | −5499.18 | 8648.11 | 2022 | 19289.74 | 2022 | −10641.64 | 2022 |
| Turkey | 255777.40 | 361774.04 | −105996.64 | 255777.40 | 361774.04 | −105996.64 | 250830.00 | 2023 | 337719.00 | 2023 | −86889.00 | 2023 |
| Tuvalu | 0.04 | 24.69 | −24.65 | 0.04 | 24.69 | −24.66 | 0.18 | 2022 | 24.24 | 2022 | −24.06 | 2022 |
| Taiwan | 432336.54 | 358959.70 | 73376.84 | 432336.54 | 358959.70 | 73376.85 |
| Tanzania | 7291.52 | 13817.30 | −6525.78 | 7291.52 | 13817.30 | −6525.78 | 7223.82 | 2022 | 14208.71 | 2022 | −6984.89 | 2022 |
| Uganda | 6162.15 | 12158.59 | −5996.44 | 6162.15 | 12158.59 | −5996.44 | 4274.72 | 2022 | 7947.24 | 2022 | −3672.52 | 2022 |
| Ukraine | 36040.00 | 63527.00 | −27487.00 | 36040.00 | 63527.00 | −27487.00 | 34678.00 | 2023 | 63473.00 | 2023 | −28795.00 | 2023 |
| Uruguay | 9192.92 | 12486.20 | −3293.28 | 9192.92 | 12486.20 | −3293.28 | 15075.91 | 2023 | 12992.50 | 2023 | 2083.41 | 2023 |
| United States | 2019542.00 | 3172514.30 | −1152972.30 | 2019541.97 | 3172514.27 | −1152972.30 | 2052682.00 | 2023 | 3112315.00 | 2023 | −1059633.00 | 2023 |
| Uzbekistan | 20044.68 | 36780.75 | −16736.07 | 20044.68 | 36780.76 | −16736.08 | 19418.80 | 2023 | 34475.56 | 2023 | −15056.76 | 2023 |
| Saint Vincent and the Grenadines | 42.78 | 413.86 | −371.08 | 42.78 | 413.86 | −371.08 | 54.38 | 2023 | 401.66 | 2023 | −347.29 | 2023 |
| Venezuela | 8470.00 | 11180.00 | −2710.00 | 8470.00 | 11180.00 | −2710.00 | 27399.00 | 2016 | 16338.00 | 2016 | 11061.00 | 2016 |
| British Virgin Islands | 21.40 | 310.60 | −289.20 |
| Vietnam | 353781.83 | 325776.17 | 28005.66 | 353781.83 | 325776.17 | 28005.66 | 354671.00 | 2023 | 310708.00 | 2023 | 43963.00 | 2023 |
| Vanuatu | 62.70 | 455.17 | −392.47 | 62.70 | 455.17 | −392.47 | 73.61 | 2022 | 349.76 | 2022 | −276.14 | 2022 |
| Wallis and Futuna | 0.15 | 78.92 | −78.77 | 0.15 | 78.92 | −78.77 |
| Samoa | 42.42 | 468.08 | −425.66 | 42.42 | 468.08 | −425.65 | 43.37 | 2023 | 429.29 | 2023 | −385.92 | 2023 |
| Kosovo | 941.41 | 2023 | 5914.62 | 2023 | −4973.21 | 2023 |
| Yemen | 226.00 | 5031.00 | −4805.00 | 226.00 | 5031.00 | −4805.00 | 472.84 | 2016 | 6798.28 | 2016 | −6325.44 | 2016 |
| South Africa | 110855.34 | 130747.04 | −19891.70 | 110855.34 | 130747.04 | −19891.70 | 110543.26 | 2023 | 104984.62 | 2023 | 5558.64 | 2023 |
| Zambia | 9651.80 | 9323.61 | 328.19 | 9651.80 | 9323.61 | 328.19 | 11504.78 | 2022 | 8136.94 | 2022 | 3367.84 | 2022 |
| Zimbabwe | 7225.20 | 9214.00 | −1988.80 | 7225.20 | 9214.00 | −1988.80 | 4931.86 | 2020 | 4719.67 | 2020 | 212.19 | 2020 |
| Developed economies | 13295050.54 | 14405932.67 | −1110882.13 |
| Developed economies: Americas | 2589735.75 | 3745136.68 | −115540093 |
| Developed economies: Asia | 1416433.60 | 1519470.62 | −103037.02 |
| Developed economies: Europe | 8876532.41 | 8803588.53 | 72943.88 |
| Developed economies: Oceania | 412348.78 | 337736.84 | 74611.94 |
| Developing economies | 10488538.42 | 9828745.41 | 659793.01 |
| Developing economies: Africa | 598316.66 | 691045.45 | −9272879 |
| Developing economies: Americas | 1396285.84 | 1448590.12 | −5230428 |
| Developing economies: Asia | 8477393.58 | 7671847.82 | 805545.76 |
| Developing economies: Oceania | 16542.34 | 17262.02 | −719.68 |
| Developing economies excluding China | 7108513.92 | 7271943.61 | −163429.69 |
| Developing economies excluding LDCs | 10231654.94 | 9511240.35 | 720414.59 |
| LDCs (Least developed countries) | 256883.48 | 317505.05 | −60621.57 | 284801.22 | 2022 | 366261.01 | 2022 | −81459.80 | 2022 |
| LDCs: Africa | 151046.30 | 171707.10 | −20660.80 |
| LDCs: Asia | 104160.14 | 139495.06 | −35334.92 |
| LDCs: Islands and Haiti | 1677.04 | 6302.89 | −4625.85 |
| LLDCs (Landlocked Developing Countries) | 271654.50 | 319148.80 | −47494.30 |
| SIDS (Small Island Developing States) (UN-OHRLLS) | 567289.32 | 555980.07 | 11309.25 |
| SIDS: Atlantic and Indian Ocean | 28862.58 | 29897.21 | −1034.63 |
| SIDS: Caribbean | 45338.29 | 84558.03 | −39219.74 | 17824.31 | 2022 | 15082.23 | 2022 | 2742.08 | 2022 |
| SIDS: Pacific | 493088.45 | 441524.83 | 51563.62 | 1719.80 | 2022 | 4992.84 | 2022 | −3273.03 | 2022 |
| Low-income developing economies (UN) | 152598.84 | 251208.67 | −98609.83 | 86999.55 | 2021 | 152563.12 | 2022 |
| Middle-income developing economies (UN) | 1964337.58 | 2340388.21 | −376050.63 | 7514648.21 | 2023 | 7212266.52 | 2023 | 302381.69 | 2023 |
| Lower middle income | 1347512.50 | 2023 | 1766244.82 | 2023 | −418732.32 | 2023 |
| Upper middle income | 6164283.04 | 2023 | 5433709.73 | 2023 | 730573.31 | 2023 |
| High-income developing economies (UN) | 8370771.08 | 7234219.39 | 1136551.69 | 15666690.60 | 2023 | 15572353.50 | 2023 | 94337.10 | 2023 |
| BRICS | 4686491.47 | 3916712.58 | 769778.89 |
| European Union | 7194388.75 | 7039378.21 | 155010.54 | 7194389.54 | 7039380.00 | 155009.54 | 6809196.86 | 2023 | 6409806.54 | 2023 | 399390.31 | 2023 |
| G20 (Group of Twenty) | 18207465.67 | 18696132.47 | −488666.80 |
| G77 (Group of 77) | 8511277.92 | 7660415.80 | 850862.12 |
| OECD (Organisation for Economic Cooperation and Development) | 13564360.38 | 14804531.09 | −1240170.71 | 13285331.08 | 2023 | 13949569.17 | 2023 | −664238.10 | 2023 |
| **Note**: Goods exports/imports refer to all movable goods (including nonmonetary gold and net exports/imports of goods under merchanting) involved in a change of ownership from residents to nonresidents. Trade in services is not included. | | | | | | | | | | | | |

