List of countries by net goods exports


# List of countries by net goods exports



This is a **list of countries by net goods exports**, also known as **balance of trade**, which is the difference between the monetary value of a nation's exports and imports over a certain time period. The list includes sovereign states and self-governing dependent territories based upon the ISO standard ISO 3166-1. The following table shows the value of total annual merchandise exports and imports, expressed in millions of United States dollars (current prices), and the resulting trade balance, according to United Nations Conference on Trade and Development (UNCTAD), World Trade Organization (WTO), and World Bank (WB).

Countries with positive balance of trade have a trade surplus, countries with negative net exports have a trade deficit.


## List

Sorting is alphabetical by country code, according to ISO 3166-1 alpha-3.

Net goods exports *(USD current prices)*
| Country/Territory/Region/Group | UNCTAD | | | WTO | | | WB | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Exports 2023 | Imports 2023 | Trade balance 2023 | Exports 2023 | Imports 2023 | Trade balance 2023 | Exports | Year | Imports | Year | Trade balance | Year |
| (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) |
| Botswana | 5423.74 | 6391.79 | −968.05 | 5423.74 | 6391.79 | −968.05 | 8312.50 | 2022 | 7756.80 | 2022 | 555.70 | 2022 |
| Central African Republic | 136.72 | 501.58 | −364.86 | 136.72 | 501.59 | −364.87 | 145.89 | 1994 | 130.58 | 1994 | 15.31 | 1994 |
| Canada | 569257.11 | 570418.95 | −1161.84 | 569257.11 | 570418.95 | −1161.83 | 569147.01 | 2023 | 570607.45 | 2023 | −1460.44 | 2023 |
| Switzerland | 420170.01 | 364098.45 | 56071.56 | 420170.01 | 364098.45 | 56071.56 | 492699.00 | 2023 | 361946.76 | 2023 | 130752.24 | 2023 |
| Chile | 94937.00 | 85506.00 | 9431.00 | 94937.00 | 85506.00 | 9431.00 | 94557.42 | 2023 | 79233.99 | 2023 | 15323.43 | 2023 |
| China | 3380024.50 | 2556801.80 | 823222.70 | 3380024.48 | 2556801.82 | 823222.66 | 3179192.96 | 2023 | 2585296.49 | 2023 | 593896.47 | 2023 |
| Ivory Coast | 20263.41 | 18886.96 | 1376.45 | 20263.41 | 18886.96 | 1376.46 | 16297.63 | 2022 | 15223.03 | 2022 | 1074.60 | 2022 |
| Cameroon | 4400.00 | 9000.00 | −4600.00 | 4400.00 | 9000.00 | −4600.00 | 6924.25 | 2022 | 7216.86 | 2022 | −292.62 | 2022 |
| Democratic Republic of the Congo | 16400.00 | 11600.00 | 4800.00 | 16400.00 | 11600.00 | 4800.00 | 22185.26 | 2021 | 18245.39 | 2021 | 3939.87 | 2021 |
| Republic of the Congo | 5970.00 | 3950.00 | 2020.00 | 5970.00 | 3950.00 | 2020.00 | 7511.58 | 2021 | 2779.38 | 2021 | 4732.19 | 2021 |
| Cook Islands | 6.57 | 173.49 | −166.92 | 6.57 | 173.49 | −166.92 | |
| Colombia | 49544.90 | 62796.64 | −13251.74 | 49544.90 | 62796.64 | −13251.73 | 52505.83 | 2023 | 59373.30 | 2023 | −6867.47 | 2023 |
