List of companies of Poland


# List of companies of Poland



Poland is a country located in Central Europe, situated between the Baltic Sea in the north and two mountain ranges (the Sudetes and Carpathian Mountains) in the south. Since the fall of communism many major companies have been established in Poland. The following list includes both fully Polish companies and foreign owned firms with independent Polish operations, such as Fiat Poland. Most of Poland's economy since communism has been developed by small and medium businesses, but large corporations still control aspects of heavy industry, mining, and chemical refining.

For further information on the types of business entities in this country and their abbreviations, see "Business entities in Poland".


## Notable firms

This list includes notable companies with primary headquarters located in the country. The industry and sector follow the Industry Classification Benchmark taxonomy. Organizations which have ceased operations are included and noted as defunct.

Notable companies
Status: P=Private, S=State; A=Active, D=Defunct
| Name | Industry | Sector | Headquarters | Founded | Notes | Status | |
| LOT Polish Airlines | Consumer services | Airlines | Warsaw | 1929 | Airline, flag carrier | S | A |
| LPP | Consumer services | Apparel retailers | Gdańsk | 1991 | Retail chain | P | A |
| Maspex | Food | Food concern | Wadowice | 1990 | Food and drink | P | A |
| Media Expert | Consumer goods | Retail | Złotów | 2002 | Part of TERG S.A | P | A |
| Multikino | Consumer services | Recreational services | Warsaw | 1998 | Part of Vue | P | A |
| Netguru | Technology | Software | Poznań | 2008 | software and product design | P | A |
| Newag | Industrials | Commercial vehicles & trucks | Nowy Sącz | 1876 | Railway rolling stock | P | A |
| Oknoplast | Consumer goods | Household goods | Kraków | 1994 | PVC windows, window components, doors, roller shutters | P | A |
| Okocim Brewery | Consumer goods | Brewers | Brzesko | 1845 | Brewery | P | A |
| Optimus S.A. | Technology | Computer hardware | Warsaw | 1988 | Merged with CD Projekt in 2011 | P | D |
| Orange Polska | Telecommunications | Mobile telecommunications | Warsaw | 1991 | Telecom, part of Orange S.A. (France) | P | A |
| Pesa SA | Industrials | Commercial vehicles & trucks | Bydgoszcz | 1851 | Railway vehicles | P | A |
| PGNiG | Oil & gas | Exploration & production | Warsaw | 1976 | Natural gas | P | A |
| PKN Orlen | Oil & gas | Exploration & production | Płock | 1999 | Oil refiner | P | A |
| Play | Telecommunications | Mobile telecommunications | Warsaw | 2007 | Mobile provider | P | A |
| Polsat Box | Telecommunications | Mobile telecommunications | Warsaw | 1999 | Mobile network | P | A |
| People Can Fly | Technology | Software | Warsaw | 2002 | Video games | P | A |
| Poczta Polska | Consumer services | Delivery services | Warsaw | 1558 | Postal service | S | A |
| Polcast Television | Consumer services | Broadcasting & entertainment | Warsaw | 2006 | Broadcaster | P | A |
| Polish State Railways | Industrials | Railroads | Warsaw | 1926 | State railways | S | A |
| Polska Grupa Energetyczna | Utilities | Conventional electricity | Warsaw | 1990 | State power | S | A |
| Polsteam | Industrials | Delivery services | Szczecin | 1951 | Shipping | P | A |
| PKO BP | Financials | Banks | Warsaw | 1948 | Bank | S | A |
| PZU | Financials | Full line insurance | Warsaw | 1803 | Insurance | S | A |
| Pronar | Consumer goods | Machinery | Narew | 1988 | Agricultural mchinery | P | A |
| PKS | Consumer services | Travel & tourism | Białystok | 1945 | Public transportation | S | A |
| Przewozy Regionalne | Consumer services | Travel & tourism | Warsaw | 2001 | Passenger rail | P | A |
| PSE (Polskie Sieci Elektroenergetyczne) | Utilities | Conventional electricity | Konstancin-Jeziorna | 2004 | Power | S | A |
| Pudliszki | Food Products | Fruit and vegetable processing | Pudliszki | 1847 | Food | P | A |
| Qumak | Technology | Software | Warsaw | 1985 | I/T | P | A |
| RTV Euro AGD | Consumer goods | Retail | Warsaw | 1990 | Consumer electronics | P | A |
| Smyk Department Store | Consumer services | General retailers | Warsaw | 2000 | Department stores and toys | P | A |
| Solaris Bus & Coach | Industrials | Commercial vehicles & trucks | Bolechowo | 2001 | Bus manufacturer | P | A |
| Techland | Technology | Software | Wrocław | 1991 | Video games | P | A |
| Tele-Fonika Kable | Industrials | Diversified industrials | Bydgoszcz | 1920 | Cable manufacturer | P | A |
| Telewizja Polska | Consumer services | Broadcasting & entertainment | Warsaw | 1952 | Public broadcasting | S | A |
| Text | Technology | Software | Wrocław | 2002 | AI and customer service software | P | A |
| T-Mobile Polska | Telecommunications | Mobile telecommunications | Warsaw | 1996 | Mobile network, part of Deutsche Telekom (Germany) | P | A |
| TVN24 | Consumer services | Broadcasting & entertainment | Warsaw | 2001 | TV channel, part of TVN Group | P | A |
| TVN 7 | Consumer services | Broadcasting & entertainment | Warsaw | 2002 | TV channel, part of TVN Group | P | A |
| TVN Group | Consumer services | Broadcasting & entertainment | Warsaw | 1995 | Media group, includes TVN | P | A |
| Tymbark | Consumer goods | Soft drinks | Tymbark | 1936 | Juice and beverage | P | A |
| Ursus SA | Automotive inductry | Agricultural machinery | Lublin | 1893 | Tractors | P | A |
| Van Pur | Consumer goods | Brewers | Rakszawa | 1989 | Brewery holding | P | A |
| Wieliczka Salt Mine | Consumer services | Recreational services | Wieliczka | 1252 | Former salt mine, now attraction | P | A |
| Wielton | Automotive industry | Utility vehicles | Wieluń | 1996 | Trailers | P | A |
| Żabka | Consumer services | Food retailers & wholesalers | Poznań | 1998 | Grocery | P | A |
| ZMT SA | Industrials | Defense | Tarnów | 1917 | Firearms, weapons | P | A |
| Zortrax | Technology | Diversified industrials | Olsztyn | 2013 | 3D printers and filaments | P | A |
| Żubrówka | Consumer goods | Brewers | Białystok | – | Brewery | P | A |
| Żywiec Brewery | Consumer goods | Brewers | Żywiec | 1856 | Brewery | P | A |

