| 36 | 1343 | TUI AG | Hanover | 23.5 | 0.6 | 17.5 | 3.6 | Hospitality |
| 37 | 1498 | Knorr-Bremse | Munich | 8.7 | 0.7 | 9.5 | 13.0 | Technology |
| 38 | 1502 | Schaeffler Group | Herzogenaurach | 17.6 | 0.5 | 18.7 | 4.6 | Automotive parts |
| 39 | 1595 | Covestro | Leverkusen | 15.3 | −0.2 | 14.8 | 9.9 | Chemicals |
| 40 | 1671 | BayWa | Munich | 24.8 | −0.1 | 14.3 | 0.9 | Retail |
| 41 | 1690 | Wüstenrot & Württembergische | Stuttgart | 5.8 | 0.3 | 73.8 | 1.3 | Finances |
| 42 | 1695 | Ceconomy | Düsseldorf | 24.2 | 0.1 | 10.8 | 1.5 | Retail |
| 43 | 1708 | KION Group | Frankfurt | 12.5 | 0.4 | 20.6 | 6.4 | Technology |
| 44 | 1790 | Südzucker | Mannheim | 11.1 | 0.6 | 11.4 | 3.1 | Food processing |
| 45 | 1813 | Deutsche Pfandbriefbank | Unterschleißheim | 3,1 | 0.1 | 56.2 | 0.8 | Banking |
| 46 | 1831 | Diebold Nixdorf | Hudson, Ohio | 3.8 | 1.5 | 3.9 | 3.6 | Financial services |
| 47 | 1856 | Aurubis | Hamburg | 17.9 | 0.1 | 8,3 | 3.7 | Mining |
| 48 | 1873 | Aareal Bank | Wiesbaden | 3.1 | 0.0 | 51.7 | 2.2 | Banking |
| 49 | 1986 | Delivery Hero | Berlin | 10.7 | −2.5 | 11.9 | 9.8 | Food delivery |

