List of countries by future gross government debt


# List of countries by future gross government debt



This is a list of countries by estimated future grossᶜˡᵃʳⁱᶠⁱᶜᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ central government debt based on data released in October 2020 by the International Monetary Fund, with figures in percentage of national GDP.


## Projected debt estimates

**Gross government debt (sortable; in percent of GDP)**
| Country | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 |
| Dominica | 83.806 | 78.822 | 85.718 | 90.758 | 88.986 | 84.354 | 80.520 | 76.019 | 71.001 |
| Dominican Republic | 49.163 | 50.661 | 53.758 | 68.771 | 68.203 | 66.762 | 65.006 | 63.349 | 61.674 |
| Ecuador | 44.617 | 46.139 | 51.825 | 68.921 | 67.438 | 65.781 | 62.280 | 59.950 | 56.058 |
| Egypt | 103.161 | 92.652 | 83.800 | 86.590 | 90.598 | 87.801 | 84.441 | 80.814 | 77.018 |
| El Salvador | 67.184 | 68.000 | 69.402 | 88.987 | 92.538 | 95.584 | 98.916 | 102.771 | 106.800 |
| Equatorial Guinea | 36.235 | 39.151 | 41.063 | 51.174 | 48.223 | 49.384 | 48.484 | 47.493 | 46.134 |
| Eritrea | 202.536 | 185.607 | 189.351 | 185.790 | 173.471 | 165.657 | 157.733 | 149.848 | 142.185 |
| Estonia | 9.124 | 8.296 | 8.396 | 18.687 | 22.378 | 25.560 | 28.047 | 30.330 | 31.890 |
| Eswatini (Swaziland) | 25.115 | 33.836 | 38.049 | 47.926 | 49.902 | 52.134 | 52.556 | 51.996 | 51.389 |
| Ethiopia | 57.723 | 61.106 | 57.603 | 56.072 | 58.511 | 56.925 | 53.914 | 48.604 | 43.306 |
| *Eurozone* | 87.619 | 85.734 | 83.984 | 101.142 | 99.975 | 98.366 | 96.954 | 95.574 | 94.265 |
| *European Union* | 83.283 | 81.293 | 79.205 | 95.347 | 94.607 | 93.200 | 91.850 | 90.506 | 89.255 |
| Fiji | 43.745 | 46.155 | 48.996 | 83.789 | 83.329 | 79.528 | 76.893 | 74.533 | 73.449 |
| Finland | 61.267 | 59.626 | 59.011 | 67.912 | 68.590 | 69.120 | 69.765 | 70.278 | 70.540 |
| France | 98.318 | 98.060 | 98.120 | 118.738 | 118.573 | 119.959 | 121.271 | 122.270 | 123.307 |
| Gabon | 62.886 | 60.914 | 62.401 | 73.857 | 70.525 | 65.197 | 59.855 | 54.767 | 48.980 |
| Ga The Gambia | 87.008 | 84.611 | 80.010 | 83.102 | 77.006 | 73.908 | 67.793 | 61.942 | 57.003 |
| Georgia | 40.760 | 39.952 | 42.641 | 58.655 | 58.779 | 56.381 | 54.611 | 53.112 | 52.034 |
| Germany | 64.993 | 61.630 | 59.525 | 73.278 | 72.206 | 68.492 | 65.526 | 62.571 | 59.549 |
| Ghana | 58.306 | 59.129 | 62.763 | 76.668 | 74.653 | 74.637 | 72.393 | 71.860 | 71.330 |
| Greece | 179.275 | 184.759 | 180.915 | 205.249 | 200.533 | 187.331 | 176.990 | 169.749 | 165.910 |
| Grenada | 70.109 | 64.358 | 59.079 | 71.496 | 73.497 | 70.199 | 64.236 | 57.122 | 50.343 |
| Guatemala | 25.091 | 26.490 | 26.591 | 32.229 | 33.894 | 35.034 | 35.600 | 35.666 | 35.458 |
| Guinea | 40.483 | 37.956 | 34.498 | 44.883 | 45.919 | 44.314 | 42.916 | 41.971 | 40.958 |
| Guinea-Bissau | 50.734 | 60.184 | 67.616 | 79.810 | 79.037 | 77.816 | 75.317 | 72.691 | 70.040 |
| Guyana | 38.909 | 43.114 | 39.792 | 36.981 | 34.843 | 27.658 | 21.971 | 21.100 | 20.488 |
| Haiti | 37.970 | 39.659 | 47.686 | 54.363 | 52.442 | 48.906 | 46.315 | 44.775 | 43.840 |
| Honduras | 38.912 | 40.083 | 40.287 | 45.957 | 50.419 | 52.366 | 53.852 | 53.710 | 51.090 |
| *Hong Kong* | 0.055 | 0.052 | 0.269 | 0.290 | 0.272 | 0.255 | 0.242 | 0.000 | 0.000 |
| Hungary | 72.903 | 70.233 | 66.344 | 77.420 | 75.869 | 73.219 | 69.836 | 66.449 | 63.470 |
| Iceland | 43.246 | 37.376 | 36.997 | 51.732 | 52.529 | 52.747 | 52.868 | 52.514 | 53.096 |
| India | 69.423 | 69.575 | 72.344 | 89.330 | 89.856 | 89.517 | 89.022 | 88.552 | 88.155 |
| Indonesia | 29.396 | 30.069 | 30.490 | 38.477 | 41.828 | 43.181 | 43.261 | 43.168 | 43.068 |
| Iran | 38.187 | 40.327 | 44.743 | 45.367 | 40.435 | 39.210 | 38.641 | 38.502 | 38.350 |
| Iraq | 58.887 | 48.885 | 46.904 | 68.265 | 74.981 | 81.685 | 84.842 | 88.307 | 90.834 |
| Ireland | 67.411 | 62.915 | 57.331 | 63.676 | 61.254 | 59.227 | 55.804 | 52.512 | 49.239 |
