List of federal subjects of Russia by GDP per capita


# List of federal subjects of Russia by GDP per capita



Tyumen Oblast has largest **GRDP per capita** in Russia of around US$ 49,000 while Ingushetia has lowest of around US$ 2,000.In 2022, Moscow GRDP per capita reached US$ 30,000 while Saint Petersburg stood at US$ 27,000.


## List

This is a **list of Russian federal subjects by GRDP per capita**.


## Historical data

Gross regional product per capita at purchasing power parity in US dollars.

| Federal subject | 1998 | 1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 |
| Leningrad Oblast | 6,086 | 6,630 | 6,969 | 8,324 | 9,176 | 10,517 | 12,281 | 13,066 | 15,057 | 15,791 | 16,889 | 18,673 | 18,748 | 19,427 | 21,077 | 20,793 |
| Murmansk Oblast | 11,127 | 12,126 | 12,394 | 11,583 | 12,330 | 13,251 | 17,880 | 16,774 | 18,220 | 20,210 | 19,710 | 18,604 | 19,173 | 19,227 | 19,781 | 20,907 |
| Novgorod Oblast | 6,159 | 6,138 | 6,149 | 7,170 | 7,307 | 8,026 | 8,979 | 10,203 | 10,853 | 11,441 | 13,262 | 13,527 | 13,107 | 14,011 | 14,851 | 15,037 |
| Pskov Oblast | 3,648 | 3,932 | 4,304 | 4,605 | 5,102 | 5,679 | 5,985 | 5,972 | 6,903 | 7,561 | 7,880 | 8,034 | 8,423 | 8,659 | 8,848 | 9,144 |
| St. Petersburg | 8,633 | 7,964 | 8,341 | 9,846 | 11,655 | 12,740 | 14,360 | 15,183 | 16,716 | 20,352 | 22,376 | 22,628 | 22,860 | 24,481 | 24,971 | 25,923 |
| **South Federal District** | 4,564 | 4,599 | 4,906 | 5,590 | 6,004 | 6,409 | 6,834 | 7,235 | 8,283 | 9,863 | 10,808 | 10,636 | 11,047 | 11,548 | 12,526 | 13,353 |
| Republic of Adygea | 3,308 | 2,837 | 2,580 | 2,733 | 2,864 | 3,201 | 3,482 | 4,124 | 4,605 | 5,738 | 6,156 | 6,973 | 7,023 | 7,422 | 8,048 | 8,528 |
| Republic of Kalmykia | 2,347 | 2,003 | 4,229 | 4,095 | 3,991 | 3,245 | 3,602 | 3,535 | 4,197 | 5,094 | 5,339 | 6,098 | 5,522 | 5,873 | 6,873 | 7,665 |
| Krasnodar Krai | 4,820 | 5,432 | 5,597 | 6,422 | 6,870 | 7,039 | 7,586 | 7,795 | 9,032 | 10,867 | 11,590 | 12,224 | 12,889 | 13,649 | 15,028 | 15,900 |
| Astrakhan Oblast | 4,872 | 4,456 | 5,828 | 5,894 | 6,597 | 7,301 | 6,975 | 7,476 | 8,141 | 8,645 | 10,939 | 9,822 | 9,385 | 9,830 | 11,294 | 13,900 |
| Volgograd Oblast | 5,268 | 4,562 | 4,890 | 5,613 | 6,246 | 6,946 | 7,169 | 8,217 | 9,169 | 10,920 | 11,882 | 10,655 | 10,867 | 11,269 | 12,064 | 12,411 |
| Rostov Oblast | 4,049 | 4,054 | 4,191 | 4,933 | 5,166 | 5,677 | 6,272 | 6,486 | 7,536 | 9,043 | 10,024 | 9,571 | 10,088 | 10,346 | 10,827 | 11,462 |
| **North Caucasus Federal District** | 3,260 | 2,777 | 2,892 | 3,386 | 3,619 | 4,069 | 4,342 | 4,181 | 4,833 | 5,423 | 5,898 | 6,239 | 6,213 | 6,494 | 6,943 | 7,496 |
| Dagestan Republic | 1,719 | 1,518 | 1,779 | 2,311 | 2,619 | 3,212 | 3,791 | 3,623 | 4,383 | 4,912 | 5,757 | 6,686 | 6,210 | 6,516 | 6,969 | 7,667 |
| Republic of Ingushetia | 1,642 | 1,437 | 1,397 | 1,472 | 1,254 | 1,497 | 1,736 | 1,867 | 2,101 | 3,574 | 3,512 | 3,409 | 3,157 | 3,665 | 4,685 | 5,323 |
| Kabardino-Balkar Republic | 3,167 | 3,117 | 3,341 | 4,017 | 4,103 | 4,208 | 4,070 | 4,524 | 4,813 | 4,929 | 5,061 | 5,645 | 5,869 | 6,077 | 6,789 | 6,956 |
| Karachay–Cherkessia | 3,061 | 2,693 | 2,599 | 3,061 | 3,768 | 3,767 | 3,632 | 3,959 | 4,866 | 5,118 | 5,700 | 6,037 | 6,007 | 5,965 | 6,780 | 7,025 |
| Republic of North Ossetia–Alania | 2,743 | 2,773 | 2,507 | 3,295 | 3,646 | 3,870 | 4,248 | 4,725 | 5,868 | 6,428 | 6,060 | 6,649 | 6,924 | 6,966 | 7,526 | 8,390 |
| Chechen Republic | – | – | – | – | – | – | – | 2,146 | 2,667 | 3,508 | 4,091 | 3,838 | 3,665 | 3,875 | 4,256 | 4,666 |
| Stavropol Krai | 4,964 | 3,952 | 4,107 | 4,559 | 4,764 | 5,370 | 5,521 | 5,720 | 6,338 | 6,978 | 7,436 | 7,383 | 7,784 | 8,210 | 8,460 | 9,036 |
| **Volga Federal District** | 6,460 | 6,260 | 6,870 | 7,568 | 7,687 | 8,452 | 9,185 | 9,806 | 11,090 | 12,394 | 13,218 | 12,106 | 12,483 | 13,619 | 14,426 | 15,194 |
| Republic of Bashkortostan | 6,583 | 6,684 | 7,384 | 7,471 | 7,400 | 8,589 | 9,411 | 10,031 | 11,925 | 12,583 | 13,688 | 11,772 | 12,209 | 13,335 | 15,461 | 16,439 |
| Republic of Mari El | 3,906 | 3,487 | 3,167 | 3,772 | 3,948 | 4,596 | 5,168 | 4,989 | 5,885 | 6,736 | 6,988 | 7,302 | 7,731 | 8,085 | 9,264 | 9,517 |
| Republic of Mordovia | 4,293 | 3,715 | 4,027 | 4,502 | 4,989 | 5,460 | 5,422 | 5,459 | 6,450 | 7,793 | 8,286 | 7,967 | 8,246 | 8,338 | 8,929 | 9,661 |
| Republic of Tatarstan | 8,317 | 8,061 | 10,295 | 10,390 | 10,723 | 11,710 | 12,837 | 13,730 | 15,433 | 17,392 | 18,355 | 17,294 | 17,317 | 19,837 | 20,597 | 21,307 |
| Udmurt Republic | 5,655 | 6,102 | 7,016 | 7,617 | 8,054 | 8,246 | 8,011 | 9,671 | 10,244 | 11,576 | 11,870 | 11,170 | 11,802 | 12,749 | 13,421 | 14,073 |
| Chuvash Republic | 3,989 | 3,498 | 3,620 | 4,278 | 4,571 | 5,005 | 5,688 | 5,782 | 7,010 | 8,432 | 9,190 | 8,218 | 8,237 | 8,715 | 9,559 | 9,535 |
| Perm Krai | 8,599 | 8,526 | 9,066 | 10,775 | 10,194 | 10,837 | 11,911 | 12,812 | 13,595 | 15,397 | 17,017 | 15,016 | 15,443 | 18,399 | 17,858 | 17,882 |
| Kirov Oblast | 4,779 | 4,557 | 4,853 | 5,022 | 5,357 | 5,637 | 5,998 | 5,967 | 6,608 | 7,361 | 8,230 | 7,951 | 8,383 | 8,443 | 8,609 | 9,014 |
| Nizhny Novgorod Oblast | 6,196 | 5,584 | 6,095 | 7,685 | 7,815 | 8,571 | 8,618 | 9,354 | 10,605 | 12,129 | 13,121 | 12,115 | 12,881 | 13,456 | 13,975 | 14,863 |
| Orenburg Oblast | 5,889 | 6,567 | 7,246 | 7,132 | 6,978 | 7,760 | 9,842 | 10,827 | 13,947 | 15,551 | 15,676 | 14,940 | 14,723 | 15,733 | 17,006 | 18,598 |
| Penza Oblast | 3,324 | 3,334 | 3,541 | 4,148 | 4,618 | 4,826 | 5,148 | 5,586 | 6,011 | 7,310 | 7,882 | 7,789 | 8,118 | 8,913 | 9,554 | 10,470 |
