List of Turkish provinces by GDP


# List of Turkish provinces by GDP



This is a **list of Turkish provinces by GDP** and GDP per capita.


## List of provinces by GDP

Provinces by GDP in 2021 according to data by the Turkish Statistical Institute.

List of provinces in Turkey by GDP in 2021 (millions of GDP)
| Average annual exchange rate in 2021: TRY 8.9808 per U.S. dollar | | | |
| --- | --- | --- | --- |
| Rank | Provinces | GDP (TRY) | GDP (US$) | Share (%) |
| 15 | Manisa | 303.589 | 12,155 | 96 |
| 16 | Sakarya | 285.550 | 12,131 | 95 |
| 17 | Mersin | 284.969 | 12,025 | 93 |
| 18 | Karaman | 282.490 | 11,952 | 92 |
| 19 | Düzce | 280.777 | 11,512 | 90 |
| 20 | Kırıkkale | 270.427 | 11,191 | 89 |
| 21 | Balıkesir | 262.890 | 11,062 | 89 |
| 22 | Kayseri | 259.858 | 10,996 | 88 |
| 23 | Denizli | 258.312 | 10,803 | 85 |
| 24 | Tunceli | 253.788 | 10,790 | 84 |
| 25 | Edirne | 253.482 | 10,676 | 84 |
| 26 | Aksaray | 250.798 | 10,563 | 84 |
| 27 | Erzincan | 248.137 | 10,550 | 87 |
| 28 | Çankırı | 247.832 | 10,362 | 83 |
| 29 | Burdur | 243.413 | 10,324 | 82 |
| 30 | Konya | 242.521 | 10,313 | 79 |
| 31 | Adana | 242.258 | 10,284 | 79 |
| 32 | Zonguldak | 241.597 | 9,937 | 79 |
| 33 | Kütahya | 233.442 | 9,887 | 77 |
| 34 | Gaziantep | 232.272 | 9,880 | 77 |
| 35 | Isparta | 232.100 | 9,849 | 76 |
| 36 | Kastamonu | 231.362 | 9,774 | 76 |
| 37 | Uşak | 229.612 | 9,689 | 74 |
| 38 | Artvin | 227.619 | 9,620 | 73 |
| 39 | Aydın | 225.996 | 9,490 | 71 |
| 40 | Samsun | 222.947 | 9,189 | 71 |
| 41 | Kırşehir | 215.872 | 9,140 | 69 |
| 42 | Nevşehir | 214.705 | 9,114 | 69 |
| 43 | Kilis | 214.111 | 8,978 | 67 |
| 44 | Karabük | 210.902 | 8,968 | 66 |
