| National | Global | (US$ billions) | | | |
| 35 | 1,186 | SK Telecom | Telecommunications | Jung, Seoul | 13.39 | 0.69 | 24.76 | 7.93 |
| 36 | 1,281 | Hyundai Glovis | Logistics | Seongdong, Seoul | 20.61 | 0.9 | 11.23 | 4.72 |
| 37 | 1,303 | CJ CheilJedang | Food | Jung, Seoul | 23.28 | 0.46 | 23.73 | 3.75 |
| 38 | 1,318 | LG | Holdings | Yeouido, Seoul | 4.55 | 0.97 | 23.43 | 10.65 |
| 39 | 1,336 | Korea Investment | Finance | Yeouido, Seoul | 8.58 | 0.48 | 68.25 | 2.36 |
| 40 | 1,361 | LG Display | Technology | Yeouido, Seoul | 18.35 | −3.24 | 28.22 | 3.96 |
| 34 | 1,371 | Hyundai Marine & Fire Insurance | Property insurance | Jongno, Seoul | 12.21 | 0.43 | 40.12 | 2.2 |
| 35 | 1,387 | BNK Financial | Finance | Nam, Busan | 5.5 | 0.59 | 108.64 | 1.63 |
| 36 | 1,456 | Samsung SDS | Technology | Songpa, Seoul | 12.56 | 0.84 | 9.24 | 6.93 |
| 37 | 1,459 | LG Innotek | Technology | Gangseo, Seoul | 15.16 | 0.75 | 7.94 | 4.64 |
| 38 | 1,522 | Lotte Chemical | Chemicals | Songpa, Seoul | 17.24 | 0.04 | 21.18 | 5.48 |
| 39 | 1,541 | HD Korea Shipbuilding & Offshore Engineering | Shipbuilding | Seongnam, Gyeonggi | 14.46 | −0.05 | 23.63 | 4.42 |
| 40 | 1,554 | Mirae Asset Financial | Finance | Jung, Seoul | 3.14 | 0.49 | 84 | 3.06 |
| 41 | 1,621 | Lotte Shopping | Retail | Jung, Seoul | 11.98 | −0.25 | 25.07 | 1.7 |
| 42 | 1,629 | Doosan | Holdings | Jung, Seoul | 13.74 | −0.35 | 20.81 | 1.19 |
| 43 | 1,675 | Daou Data | Technology | Mapo, Seoul | 7.54 | 0.15 | 39.44 | 0.46 |
| 44 | 1,696 | Hyundai Engineering & Construction | Construction | Jongno, Seoul | 17.66 | 0.31 | 16.54 | 3.44 |
| 45 | 1,700 | Kakao | Technology | Jeju, Jeju | 5.49 | 0.1 | 18.16 | 18.89 |
| 46 | 1,730 | DGB Financial | Finance | Buk, Daegu | 4.23 | 0.3 | 72 | 0.88 |
| 47 | 1,732 | Daou Technology | Technology | Seongnam, Gyeonggi | 7.13 | 0.28 | 38.96 | 0.6 |
| 48 | 1,836 | Samsung Electro-Mechanics | Technology | Suwon, Gyeongggi | 7.29 | 0.75 | 8.7 | 7.87 |
| 49 | 1,860 | JB Financial | Finance | Jeonju, Jeonbuk | 2.52 | 0.44 | 47.31 | 1.22 |
| 50 | 1,909 | LG Uplus | Telecommunications | Yongsan, Seoul | 10.76 | 0.51 | 15.64 | 3.61 |
| 51 | 1,943 | Korea Zinc | Non-steel smelting | Gangnam, Seoul | 8.68 | 0.6 | 9.57 | 7.63 |
| 52 | 1,953 | Kakao Bank | Banking | Seongnam, Gyeonggi | 1.4 | 0.22 | 31.25 | 8.49 |

