List of Asian countries by GDP (PPP) per capita


# List of Asian countries by GDP (PPP) per capita



This is a **list of Asian countries by GDP per capita** based on purchasing power parity. All figures are given in international dollars and are the latest estimates from the International Monetary Fund. Countries with contiguous boundaries that are partially (but not entirely) located in Asia are shown here in italics, but GDP per capita figures are given for the whole state. Dependent territories (not sovereign states) are not ranked, and are also shown in italics.


## List of Asian countries by GDP (PPP) per capita

| Asian rank | World rank | Country | GDP per capita (Int$) | Year |
| --- | --- | --- | --- | --- |
| 1 | 1 | Singapore | 89,354 | 2023 est. |
| 2 | 4 | Qatar | 81,968 | 2023 est. |
| - | - | Macau | 89,558 | 2023 est. |
| 3 | 5 | United Arab Emirates | 88,221 | 2023 est. |
| 4 | 10 | Brunei | 75,583 | 2023 est. |
| - | - | Hong Kong | 59,844 | 2023 est. |
| 5 | 12 | Taiwan | 73,344 | 2023 est. |
| 6 | 21 | Saudi Arabia | 64,836 | 2023 est. |
| 7 | 25 | Bahrain | 60,596 | 2023 est. |
| 8 | 28 | South Korea | 56,706 | 2023 est. |
| 9 | 30 | Israel | 54,997 | 2023 est. |
| 10 | 31 | Cyprus | 54,611 | 2023 est. |
| 11 | 34 | Kuwait | 53,037 | 2023 est. |
| 12 | 36 | Japan | 51,809 | 2023 est. |
| 13 | 46 | Oman | 42,188 | 2023 est. |
| 14 | 49 | Turkey | 41,412 | 2023 est. |
| 15 | 54 | Malaysia | 36,847 | 2023 est. |
| 16 | 55 | Maldives | 36,358 | 2023 est. |
| 17 | 57 | Kazakhstan | 32,688 | 2023 est. |
| 18 | 73 | China | 23,382 | 2023 est. |
| 19 | 74 | Thailand | 22,675 | 2023 est. |
| 20 | 75 | Georgia | 21,922 | 2023 est. |
| 21 | 78 | Turkmenistan | 19,974 | 2023 est. |
| 22 | 80 | Iran | 19,548 | 2023 est. |
| 23 | 81 | Armenia | 19,489 | 2023 est. |
| 24 | 88 | Azerbaijan | 18,669 | 2023 est. |
| 25 | 98 | Indonesia | 15,855 | 2023 est. |
| 26 | 102 | Mongolia | 14,939 | 2023 est. |
| 27 | 103 | Vietnam | 14,458 | 2023 est. |
| 28 | 104 | Sri Lanka | 14,223 | 2023 est. |
| 29 | 105 | Bhutan | 14,170 | 2023 est. |
| 30 | 111 | Iraq | 12,927 | 2023 est. |
| 31 | 112 | Jordan | 12,893 | 2023 est. |
| 32 | 117 | Philippines | 11,420 | 2023 est. |
| 33 | 118 | Lebanon | 11,377 | 2020 est. |
| 34 | 124 | Uzbekistan | 10,308 | 2023 est. |
| 35 | 122 | Laos | 9,801 | 2023 est. |
| 36 | 127 | India | 9,183 | 2023 est. |
| 37 | 128 | Bangladesh | 8,663 | 2023 est. |
| 38 | 138 | Pakistan | 6,955 | 2023 est. |
| 39 | 139 | Palestine | 6,688 | 2023 est. |
| 40 | 142 | Kyrgyzstan | 6,250 | 2023 est. |
| 41 | 144 | Cambodia | 6,092 | 2023 est. |
| 42 | 146 | North Korea | 5,293 | 2023 est. |
| 43 | 148 | Myanmar | 5,132 | 2023 est. |
| 44 | 149 | Nepal | 5,101 | 2023 est. |
| 45 | 160 | East Timor | 3,637 | 2023 est. |
| 46 | 170 | Syria | 2,900 | 2015 est. |
| 47 | 176 | Yemen | 2,456 | 2020 est. |
| 48 | 181 | Afghanistan | 2,042 | 2023 est. |

